free,ing,not_ing,recipeID,title,ingredients,directions,rel
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,791988,Christmas Punch,"['1 qt. pineapple juice', '1 pkg. lime Kool-Aid (2 qt. pkg.)', '2 qt. ginger ale', '1 qt. lime sherbet']","Mix Kool-Aid according to directions. Add pineapple juice. Just before serving, add scoops of sherbet and ginger ale. For red punch, use raspberry Kool-Aid and sherbet.",3
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,1219527,Black Punch,"['1 (750 ml) bottle vodka', '2 (6 g) packets grape kool-aid', '3 quarts water', '2 cups sugar', '1 liter ginger ale']","Make Kool Aid according to instructions using the water, sugar and Kool Aid in a large punch bowl. Mix in the Vodka. When ready to serve add the Ginger Ale.",1
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,1677906,"Bologna Sandwich, Fruit & Yogurt","['3 slices OSCAR MAYER Light Bologna', '2 slices whole wheat bread, toasted', '1 Tbsp. KRAFT Light Mayo Reduced Fat Mayonnaise', '2 piece lettuce leaves', ""1 medium apple King Sooper's 1 lb For $0.87 thru 02/09"", '6 oz. nonfat yogurt, favorite flavor', '1 pouch , or 8 fl oz (1 cup) drinking water']","Build your sandwich with bologna, bread, mayonnaise and lettuce. On the side, enjoy an apple and yogurt. Enjoy with a pouch of KOOL-AID JAMMERS, or a glass of water.",2
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,448130,Economical Party Punch,"['2 pkg. Kool-Aid', '2 c. sugar', '2 qt. water', '1 (46 oz.) can pineapple juice', '1 qt. ginger ale', '1 qt. sherbet']","Mix Kool-Aid, sugar and water. Add juice, ginger ale and sherbet. (Coordinate flavor of Kool-Aid with sherbet; lemon lime Kool-Aid with lime sherbet, etc.)",3
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,435484,Kool-Aid Punch,"['6 pkg. lemon lime Kool-Aid', '2 gal. water', '2 cans frozen orange juice', '2 cans unsweetened pineapple juice', '1 c. sugar per pack', '2 (2 liter) bottles ginger ale', '2 cans grapefruit juice']","Mix Kool-Aid, sugar and water, dissolving fully. Add juices; let set overnight. Add ginger ale just before serving. Kool-Aid may be substituted according to color scheme.",3
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,1002228,Country Frittata,"['2 teaspoons olive oil', '1 lb cooked potato, diced small', '1/4 cup diced ham', '1/4 teaspoon minced garlic', '8 eggs', 'salt and pepper', '1/4 cup grated parmesan cheese']","Preheat oven to 350\u00b0. In a 12\  non stick skillet with oven proof handle, heat olive oil until hot and add the potatoes, ham and garlic. Saute just until browned. In a bowl, whisk eggs and pour over the potato mixture. Season with salt and pepper and cook over medium low heat, occasionally sliding a spatula around the edge of the pan to loosen the frittata as it cooks. When nearly set, sprinkle with cheese and place in oven for 2 to 4 minutes or until evenly set and slightly golden. Note: If you do not have a skillet with an oven proof handle, wrap two layers of aluminum foil over your handle before baking.",2
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,194630,Strawberry Punch,"['2 pkg. strawberry Kool-Aid', '3 c. sugar', '1 small can pineapple juice', '1 small bottle ginger ale', 'orange sherbet']",Mix Kool-Aid and sugar with enough of water to make 2 quarts. Mix the other ingredients to the Kool-Aid. Add orange sherbet before serving.,3
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,427505,Dinosaur Eggs For Children,"['hard-boiled eggs', 'Kool-Aid']",Gently crack the hard-boiled eggs. Put the cracked eggs in a small bowl or cup of Kool-Aid. Cover bowl with Saran Wrap and refrigerate for 24 hours. Take eggs out of bowl and remove egg shells. The eggs will have a marbled look and taste like Kool-Aid.,4
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,1737981,Super Protein Peach Shake/smoothie,"['4 -5 frozen peach slices', '18 ounce packagepeach Kool-Aid (I used Kroger Brand)', '1 tablespoon powdered soy protein concentrate', '1 cup soymilk, as needed (I use Silk Unsweetened)', '1 tablespoon Splenda sugar substitute', '2 tablespoons vanilla soy yogurt or 2 tablespoons tofu yogurt', '1 -2 ice cube']","Blend the peaches, peach Kool Aid, Soy Protein Powder, Soy Milk, Splenda, Soy or tofu yogurt, blend until smooth. Add ice, blend again.",5
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,1626546,Quiche Lorraine,"['1 frozen pie shell', '6 strips bacon', '3 eggs', '3/4 cup whole milk', '1/2 cup heavy cream', '1/2 teaspoon salt', '1/4 teaspoon black pepper', '4 ounces shredded Gruyere 4 oz. per 1 cup']","Preheat the oven to 400\u00b0F. Arrange a rack to the lowest position in the oven. Poke the bottom of the frozen pie shell with a fork, and place on a baking sheet. Pro tip: Docking a pie crust by poking holes in it with a fork allows steam to escape, avoiding bubbles in the crust while baking. Bake the pie shell for 12-14 minutes or according to package directions on the bottom rack of oven, until the bottom is slightly puffed. Remove from the oven and set aside. Reduce the oven to 350\u00b0F. Place two sheets of paper towels on a large dinner plate, and set aside. Set a large skillet over medium-high heat. Arrange the bacon strips in the skillet. Fry the bacon until brown and crisp, about 6-8 minutes, flipping once. Transfer the bacon strips onto the paper-towel lined dinner plate. In a large mixing bowl, whisk together the eggs, milk, heavy cream, salt, and black pepper, until smooth. Using clean hands, crumble the bacon into small pieces. Place the crumbled bacon and shredded cheese into the egg and milk mixture. Fold with a rubber spatula until the bacon and cheese are evenly distributed. Pour the egg, bacon, and cheese mixture into the pie shell. Cover the edges of the pie shells with pie guards or strips of aluminum foil to avoid burning or over-browning the crust. Bake the quiche for 45-55 minutes on the bottom rack of oven, until the top is firm and golden brown. Check to see that quiche is done. Remove from oven or add time as needed. Allow to cool for at least 30 minutes at room temperature before slicing and serving. Leftover quiche may be stored covered in the refrigerator for up to 3 days.",2
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,198494,Punch For 100,"['6 c. sugar', '6 qt. water', '2 c. strong tea', '6 cans frozen orange juice', '4 cans frozen lemon juice', '2 qt. white grape juice', '1 large can crushed pineapple', '4 party pack ginger ale']",Mix all together and serve chilled.,3
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,1643265,Bride's Pink Punch Recipe,"['3 ounce. box strawberry Jello', '1 c. boiling water', '1 pack unsweetened strawberry kool-aid', '2 quarts. cool water', '2 1/2 c. sugar', '46 ounce. can pineapple juice', '10 ounce. 7-Up', '2 pts. pineapple sherbet']","Dissolve Jello in boiling water. Mix kool-aid, cool water and sugar. Add in Jello with kool-aid and pineapple juice. Store till ready to use. Add in 7-Up and spoonfuls of sherbet when ready to serve. Serves 35 people. (To make Peach Punch, substitute orange Jello for strawberry Jello and orange kool-aid for strawberry kool-aid.)",3
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,244160,Poppy Seed Dressing,"['1 c. salad oil', '1/2 c. sugar', '1/3 c. cider vinegar', '1 Tbsp. poppy seed', '1 Tbsp. grated onion', '1 tsp. salt', '1 tsp. dry mustard']","Blend all ingredients together until mixed well, dressing should be thick. Store in tightly covered jar in refrigerator. Stir well before using. Makes about 1 1/2 cups.",1
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,75981,Christmas Punch,"['2 pkg. Kool-Aid (mixed as directed)', '1 (46 oz.) pineapple juice', '1 (16 oz.) frozen orange juice concentrate', '2 (2 liter) bottles ginger ale', '1/2 gal. lime or cherry sherbet']","For red punch, use cherry Kool-Aid. For green punch, use lime Kool-Aid.",3
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,880170,Homemade Cocoa,"['2 c. powdered milk', '1/4 c. cocoa', '1 c. powdered sugar', 'dash of salt', '1/3 c. powdered nondairy creamer']",Mix Kool-Aid according to directions on can. Chill. Add equal parts of Kool-Aid to equal parts of chilled ginger ale.,1
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,497248,Punch,"['5 pkg. Kool-Aid (any flavor)', '3 c. sugar', '1 (46 fl. oz.) pineapple juice (unsweetened)', '1/2 gal. vanilla ice cream', '1 (2 liter) 7-Up']",Pour Kool-Aid into an empty 2 liter bottle. Pour sugar into bottle with the Kool-Aid. Fill the bottle of Kool-Aid and sugar with warm water to the top. Cap bottle and shake really well and freeze overnight.,3
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,234432,Tutti Frutti Ice,"['1 pkg. lime Kool-Aid', '1 pkg. orange Kool-Aid', '1 pkg. cherry Kool-Aid', '2/3 c. sugar', '1 bottle Sprite']","You make up each package of Kool-Aid using 2/3 cup of sugar in each pitcher of Kool-Aid. You pour the Kool-Aid in ice trays and freeze it. After frozen, you put each kind of ice in glass and pour in some Sprite, then drink.",3
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,1035508,Blue Bayou Gumbo,"['1/4 cup butter', '1/4 cup flour', '1 cup onion, diced (about 2)', '1 cup celery, diced', '2 quarts chicken stock', '1 cup okra, sliced', '12 ounces meat (cubed chicken, andouille sausage and or shrimp)', '1 (6 ounce) can diced tomatoes', '1 teaspoon cajun seasoning', '1 teaspoon gumbo file', '1 tablespoon salt, divided use (OR to taste)', '2 cups rice, cooked', 'optional', '2 tablespoons olive oil', '3/4 lb green bell pepper, diced', '1 tablespoon garlic, minced', '2 tablespoons parsley, chopped']","Place room-temperature butter in a small saute pan or saucepan over very low heat. Slowly whisk in flour until very smooth. Continue whisking until the roux begins to brown. Add the onion and celery. Cook for 5 minutes. Add the stock and stir. Simmer for 10 minutes. Add remaining ingredients (except file and salt) and return to a simmer. Adjust salt to taste. If you are adding seafood, add it at the very end and make sure it is completely cooked. Add file. Mix well and serve over rice.",4
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,1768785,Koolaid Cookies,"['12 cup butter or 12 cup margarine', '1 cup granulated sugar', '1 egg, beaten', '2 12 teaspoons baking powder', '2 cups all-purpose flour', '12 cup low-fat milk', '14 teaspoon salt', ""12 teaspoon unsweetened Kool-Aid (don't use grape flavor)""]","Cream butter and sugar together. In a separate bowl, mix flour, baking powder, salt and Kool-Aid together. Mix the flour mixture alternately with milk to the butter mixture. Drop by teaspoonfuls onto a greased cookie sheet. Bake in a 375F oven for 12 minutes. KOOL-AID FROSTING:. Blend 1 cup powdered sugar with 1/4 teaspoons Kool-Aid powder, then add 1 teaspoon soft butter and 2 tablespoons low fat milk and beat until creamy. Spread on cooled cookies.",5
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,1221849,German Chocolate Cookies,"['1 (18 1/4 ounce) package German chocolate cake mix', '2 eggs', '1/2 cup butter or 1/2 cup margarine, melted', '1/2 cup quick-cooking oats', '1 cup semi-sweet chocolate chips', '1/2 cup raisins (optional)']","\ In a mixing bowl, combine the dry cake mix, eggs, butter and oats. Stir in the chocolate chips and raisins. Drop by heaping teaspoonfuls 2 inches apart onto an ungreased baking sheet. Bakew at 350 degrees for 9-11 minutes or untill set. Cool for 5 minutes; remove to wire racks.",2
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,48989,Punch,"['2 pkg. Kool-Aid', '3 cans pineapple juice', '1 qt. ginger ale']","Mix Kool-Aid according to package directions. Combine Kool-Aid and pineapple juice. Just before serving, add ginger ale and mix well.",3
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,1124790,Kool-Aid Paint,"['1 (1/4 ounce) package Kool-Aid (any flavour or colour you want to use)', '1/2 tablespoon hot water']",Pour Kool-Aid in a very small container (Glad Mini Round/4oz containers work very well). Add water. Stir well until the Kool-Aid is dissolved. Have fun!,3
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,643251,Ruby'S Fruit Punch,"['3 packets cherry Kool-Aid', 'amount of sugar required on packet', '1/2 amount water recommended', '2 oranges, diced and juiced', '1 1/2 lemons, diced and juiced', 'ginger ale']","Mix Kool-Aid, sugar and water. Stir to dissolve sugar and Kool-Aid. Add juices of oranges and lemons. Add ginger ale to required strength.",3
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,826690,Strawberry-Pineapple Punch,"['3 pkg. strawberry Kool-Aid', '1 large can pineapple juice']",Mix Kool-Aid according to package directions. Add pineapple juice to Kool-Aid mixture.,3
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,831450,Punch,"['1 pkg. cherry Kool-Aid', '1 big can pineapple juice', '1 large ginger ale']","Mix Kool-Aid as directed on package. Add pineapple juice and chill. Before serving, add chilled ginger ale to Kool-Aid and pineapple juice.",3
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,1663722,Smoked Salmon & Cream Cheese Omelet,"['12 cup egg white', '2 teaspoons fat free cream cheese', '1 teaspoon canola oil', '14 ounce smoked salmon', 'salt & pepper']","Whisk together egg whites, cream cheese, salt & pepper. Pour oil into a non-stick skillet and turn to coat. Heat over medium-high flame. Add egg whites mixture to the skillet, gently pushing egg whites toward the center as they cook. When eggs are almost set, place smoked salmon on top. Cover the pan, and cook for 30 seconds. Remove the lid, and add pepper. Slide omelet onto a cutting board to fold it in half. Then place on a plate and serve.",2
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,1602,Easy Punch,"['2 pkg. Kool-Aid (any flavor)', '2 c. sugar', '2 qt. water', '1 (46 oz.) can pineapple juice', '1 qt. ginger ale']","Mix Kool-Aid, sugar and water. Add pineapple juice and chill. (One package cherry Kool-Aid and one package raspberry Kool-Aid make a good flavor combination. For green punch, use lemon-lime Kool-Aid.) Pour over ice in punch bowl. Add chilled ginger ale. Serve at once. Makes 50 half cup servings.",3
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,459052,Punch,"['1 pkg. lemon-lime Kool-Aid or lime Kool-Aid', '1 large can frozen lemonade concentrate', '1 large can pineapple juice', '1 (2 liter) Sprite', '1/2 gal. lime sherbet']",Mix Kool-Aid according to package directions. Pour small amount in Bundt pan and freeze to make ice ring for punch. Mix the remaining ingredients with Kool-Aid.,3
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,835444,Vegetable Sandwich(Party Sandwich),"['1 c. chopped celery', '1 grated cucumber', '1 large onion, grated', '2 grated carrots', '1/2 green bell pepper, grated', '2 c. mayonnaise', '1 tsp. salt', '1 envelope Knox gelatine']",Mix and let stand in refrigerator overnight; spread on round pieces of bread and garnish with a pimento.,1
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,526297,Kool-Aid Pie,"['1 envelope unsweetened Kool-Aid lemonade (or any flavor)', '1 can Eagle Brand sweetened condensed milk', '1 (12 or 16 oz.) carton Cool Whip', '1 graham cracker crust']","Combine Kool-Aid and Eagle brand milk until Kool-Aid is well mixed. Add Cool Whip and fold in until well mixed. Pour into crust and chill. If adding fruit, fold in last, before putting mixture in the crust. Try drained pineapple with orange Kool-Aid, or drained black cherries with black cherry Kool-Aid.",4
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,1010562,Applesauce Biscuits,"['2 cups flour', '3 teaspoons baking powder', '1/4 teaspoon baking soda', '1 teaspoon salt', '3 tablespoons shortening', '1 egg, beaten', '1/2 cup unsweetened applesauce', '1/4 cup sour cream', '1/2 cup cheddar cheese, grated']",Sift together the first four ingredients. Cut in shortening. Combine the rest of the ingredients except the cheese and add to the dry ingredients. Mix gently but quickly. Turn out on a floured surface and knead for a few seconds. Roll out to 1/2 in ch think. Cut with 2 inch biscuit cutter. Place on an ungreased cookie sheet. Sprinkle with the cheese. Bake at 400 for 15 minute.,2
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,81887,Penny Pincher Punch,"['1 gal. Kool-Aid (any kind)', '1 large bottle ginger ale', '1 1/2 gal. sherbet']",Mix Kool-Aid and freeze in a plastic milk jug. Set Kool-Aid out of freezer about 1 hour before serving time. Cut away plastic jug. Place Kool-Aid in punch bowl. Add ginger ale and stir until slushy. Scoop in sherbet.,3
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,1585332,Breakfast Casserole,"['8 whole Eggs', '6 slices Cubed Bread', '1 cup Grated Sharp Cheese', '1 pound Sausage, cooked and crumbled', '2 cups Milk', '1 teaspoon Salt', '1 teaspoon Dry Mustard']",Combine ingredients. Pour into greased 9x13 glass pyrex dish. Refrigerate 12 hours or overnight. Bake at 350 degrees for 35 minutes.,3
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,1901817,KOOL-AID Tie-Dye Easter Eggs,"['2 env. (6 g each) Kool-Aid Unsweetened Drink Mix, any red colour (try Cherry, Black Cherry, Strawberry or Tropical Punch flavour)', '2 env. (6 g each) Kool-Aid Unsweetened Drink Mix, any orange colour (try Orange, Mango or Peach flavour)', '2 env. (6 g each) Kool-Aid Unsweetened Drink Mix, any yellow or green colour (try Lemonade, Pina or Lemon-Lime flavour)', '2 env. (6 g each) Kool-Aid Unsweetened Drink Mix, any blue colour (try Mixed Berry or Ice Blue Raspberry Lemonade flavour)', '1/2 cup water, divided', '1-1/2 doz. hard-cooked eggs, cooled']","Mix contents of 2 (same-flavoured) Kool-Aid envelopes with 2 Tbsp. water in 3/4- to 1-cup container; stir to dissolve drink mixes. Repeat in 3 separate containers with remaining Kool-Aid envelopes. Place eggs on cooling rack in sink; rinse eggs with tap water. Spoon Kool-Aid mixtures, 1 at a time, over wet eggs to create tie-dye patterns. Repeat with remaining eggs. Pour a little tap water over each egg to set colours. Use tongs to transfer eggs to paper towel-covered baking sheet to dry. Rinse sink immediately as needed.",5
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,466426,Flavored Frostings,"['3 c. powdered sugar', '1/3 c. butter or margarine, softened', '1 1/2 tsp. vanilla', '2 Tbsp. milk (add more or less milk, if desired)', '1 pkg. Kool-Aid (any flavor)']",Whip ingredients to a fluffy texture. Add any flavored Kool-Aid to frosting and whip more. Frosting will have the Kool-Aid flavor.,3
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,414969,Party Punch,"['8 pkg. Kool-Aid*', '2 large cans pineapple juice', '4 qt. size bottles ginger ale']","*If using sugar-free Kool-Aid, no sugar needed. If using regular Kool-Aid, sweeten just as you would regular Kool-Aid.",3
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,775433,Red Or Green Punch,"['6 pkg. lime or cherry Kool-Aid', '1 large can pineapple juice', '4 c. sugar', '6 qt. water', '1 bottle ginger ale']","Mix all ingredients except ginger ale. For red punch, use cherry Kool-Aid. For green punch, use lime Kool-Aid. Chill. When ready to serve, add ginger ale. Serves 25.",3
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,842826,Easy Lemon Pie,"['1 pkg. lemonade Kool-Aid', '1 can Eagle Brand milk', '1 (12 oz.) carton Cool Whip', '1 graham cracker crust']","Mix Kool-Aid, Eagle Brand milk and Cool Whip and pour into graham cracker crust! Other flavors of Kool-Aid may be used for a variety of tastes.",4
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,118206,Crock Pot Spinach Casserole,"['2 10-ounce boxes frozen spinach, thawed, liquid squeezed out', '1 1/2 to 2 cups (1 pound) American Cheese cubed (slices or block)', '2 cups (16 ounces) cottage cheese, small or large curd', '3 eggs beaten', '1/4 cup butter or margarine, cubed', '1 teaspoon salt', '1/4 cup flour']",Grease crock pot with margarine or PAM. Combine all ingredients in crock pot. Cook on high for 1 hour. Stir. Cook on low for 3 1/2 to 5 hours.,2
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,918803,Overnight Cinnamon Rolls I,"['1 cup milk', '1/3 cup butter', '1 (.25 ounce) package active dry yeast', '1/2 cup white sugar', '4 1/2 cups all-purpose flour', '1 teaspoon salt', '3 eggs', 'FILLING:', '3/4 cup brown sugar', '1 tablespoon ground cinnamon', '1/2 cup raisins', 'GLAZE:', '1 teaspoon light corn syrup', '1/2 teaspoon vanilla extract', ""1 1/4 cups sifted confectioners' sugar"", '2 tablespoons half-and-half cream']","Heat the milk in a small saucepan until it bubbles, then remove from heat. Add the butter and stir until melted; let cool until lukewarm. In a large mixing bowl, dissolve the yeast in the milk mixture. Add the sugar, 3 cups of flour, salt and eggs; stir well to combine. Add the remaining flour, 1/2 cup at a time, stirring well after each addition. When the dough has pulled together, turn it out onto a lightly floured surface and knead until smooth and supple, about 8 minutes. Lightly oil a large mixing bowl, place the dough in the bowl and turn to coat with oil. Cover with a damp cloth and let rise in a warm place until doubled in volume, about 1 hour. Deflate the dough and turn it out onto a lightly floured surface and roll into a 10x 14 inch rectangle. Lightly brush the far edge with water. In a small bowl combine the cinnamon and 3/4 cup brown sugar and sprinkle over the rectangles. Then sprinkle the raisins and chopped nuts over the dough. Roll up the dough into a log and seal the seam. Cut the dough into 12 equal pieces; place the pieces in a greased 9x13 inch baking pan, or 12 inch deep dish pizza pan. Cover with plastic wrap and place in the refrigerator to rise overnight. The next morning, preheat oven to 375 degrees F (190 degrees C). Take the rolls out of the refrigerator and let stand at room temperature for 30 minutes. Bake the rolls for 25 to 30 minutes or until golden. Meanwhile, combine the corn syrup with the vanilla in a small bowl. Whisk in the powdered sugar and enough cream to make a thick glaze; set aside. Drizzle the glaze over the rolls and serve warm.",3
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,27768,All-Purpose Punch,"['6 oz. frozen orange juice', '1 large can pineapple juice', '2 pkg. Kool-Aid (to make color needed)', '6 oz. frozen lemonade juice', '3 c. sugar']",Mix Kool-Aid with 1 gallon water. Mix orange juice and lemonade with water as directed on cans. Pour juice mixture and sugar into Kool-Aid. Makes 1 3/4 gallons.,3
